email,nom_commune,code_insee,departement,population,nom_maire,lat,lon
mairiechard@wanadoo.fr,Chard,23005,23,193,,45.946077,2.477056
mairie.cezens@orange.fr,Cézens,15026,15,177,,44.984592,2.855661
mairiededarazac@orange.fr,Darazac,19014,19,216,,45.175419,2.082646
mairie.franseches@orange.fr,Fransèches,23007,23,239,,46.018791,2.049916
mairie.jaleyrac@wanadoo.fr,Jaleyrac,15010,15,192,,45.264056,2.370731
chapelle-laurent.mairie@wanadoo.fr,La Chapelle-Laurent,15013,15,141,,45.177517,3.242685
le-pescher.mairie@wanadoo.fr,Le Pescher,19003,19,236,,45.070238,1.738522
mairie-montsalvy@wanadoo.fr,Montsalvy,15082,15,286,,44.707286,2.500339
mairiereterre@wanadoo.fr,Reterre,23046,23,83,,46.101892,2.472514
mairie.stcernin@wanadoo.fr,Saint-Cernin-de-Larche,19047,19,373,,45.102907,1.413962
saint-cirgues-la-loutre@mairie19.fr,Saint-Cirgues-la-Loutre,19014,19,216,,,
mairie-st-frion@orange.fr,Saint-Frion,23063,23,151,,45.862532,2.226138
secretariat@mairie-stmerd.fr,Saint-Merd-de-Lapleau,19010,19,2881,,45.256966,2.083781
st.pardoux-les-cards@wanadoo.fr,Saint-Pardoux-les-Cards,23001,23,1394,,46.0834199,2.120068
mairiestpierrecherignat@orange.fr,Saint-Pierre-Chérignat,23056,23,336,,45.972839,1.613749
mairie.st-priest-la-plaine@orange.fr,Saint-Priest-la-Plaine,23047,23,241,,46.1910038,1.6270924
commune-de-sauvat@orange.fr,Sauvat,15008,15,284,,45.315298,2.443202
mairie@varetz.com,Varetz,19005,19,4081,,45.193392,1.451052
info@vignols.com,Vignols,19109,19,228,,45.319031,1.389558
mairie.alleyrat0987@orange.fr,Alleyrat,23003,23,144,,45.989672,2.153152
commune.auriac@orange.fr,Auriac,19014,19,216,,45.204129,2.147552
contact@felletin.fr,Felletin,23063,23,151,,45.884903,2.173311
monselie.mairie@wanadoo.fr,La Monselie,15008,15,284,,45.3229,2.554976
mairie-lacelle@orange.fr,Lacelle,19027,19,115,,45.644106,1.823679
mairie-maisonnisses@wanadoo.fr,Maisonnisses,23001,23,1394,,46.0629806519,1.89900803566
mairie.perpezac@orange.fr,Perpezac-le-Blanc,19015,19,717,,45.222149,1.331233
mairie.st.martial.gimel@wanadoo.fr,Saint-Martial-de-Gimel,19041,19,437,,45.26722,1.872921
mairie.vedrines15@orange.fr,Védrines-Saint-Loup,15002,15,224,,45.068361,3.281455
commune-d-ars@orange.fr,Ars,23007,23,239,,46.003698,2.0780759
mairie-chambon.sainte.croix@orange.fr,Chambon-Sainte-Croix,23025,23,1357,,46.354,1.775359
mairie.cheniers@orange.fr,Chéniers,23025,23,1357,,46.3540369165,1.82682037354
mairie@stbonnetlariviere.fr,Saint-Bonnet-la-Rivière,19109,19,228,,45.2999992371,1.36915004253
mairie.saint-martin-valmeroux@wanadoo.fr,Saint-Martin-Valmeroux,15063,15,321,,45.116603,2.427515
mairie.saint.eloi@orange.fr,Saint-Éloi,23004,23,551,,46.0740901,1.8383858
mairie-valliere@wanadoo.fr,Vallière,23016,23,183,,45.9068191,2.035065
commune@boussac-bourg.fr,Boussac-Bourg,23031,23,1236,,46.360565,2.232741
mairie@malemort.org,Malemort,19043,19,448,,45.170141,1.564002
mairie.montmurat@wanadoo.fr,Montmurat,15021,15,665,,44.628722,2.200942
mairie@nespouls.fr,Nespouls,19047,19,373,,45.051909,1.496775
mairie.nouziers@orange.fr,Nouziers,23041,23,266,,46.421432,1.95839
mairie.saint.augustin@orange.fr,Saint-Augustin,19020,19,114,,45.424793,1.836179
mairie.stefereole@wanadoo.fr,Sainte-Féréole,19072,19,2733,,45.228095,1.582375
mairie.savennes@orange.fr,Savennes,23004,23,551,,46.106121,1.888146
mairie.troche@wanadoo.fr,Troche,19011,19,1205,,45.389066,1.437728
secretariat@benayes.fr,Benayes,19022,19,224,,45.517827,1.469359
mairie.brageac@wanadoo.fr,Brageac,15003,15,594,,45.205321,2.289639
collonges-la-rouge.mairie@orange.fr,Collonges-la-Rouge,19029,19,279,,,
maire@commune-cosnac.fr,Cosnac,19043,19,448,,45.134716,1.584432
mairie.drugeac@wanadoo.fr,Drugeac,15063,15,321,,45.166995,2.385556
mairiedelachaussade@wanadoo.fr,La Chaussade,23003,23,144,,45.989395,2.237546
communedelasegalassiere@wanadoo.fr,La Ségalassière,15030,15,297,,44.8931356,2.2077493
mairie.maison-feyne@wanadoo.fr,Maison-Feyne,23039,23,534,,46.338414,1.669092
info@montgibaud.com,Montgibaud,19121,19,2246,,45.518224,1.423131
mairie-de-meallet@wanadoo.fr,Méallet,15010,15,192,,45.254812,2.430186
mairie.rosiers@wanadoo.fr,Rosiers-d'Égletons,19046,19,114,,45.378476,2.008042
saignes.mairie@wanadoo.fr,Saignes,15008,15,284,,45.3370018005,2.47934007645
mairie@saint-etienne-cantales.fr,Saint-Étienne-Cantalès,15011,15,174,,44.949008,2.225551
mairiesaintbonnetavalouze@wanadoo.fr,Laguenne-sur-Avalouze,19041,19,437,,,
mairiedally@orange.fr,Ally,15003,15,594,,45.17377,2.317515
mairie.clugnat@orange.fr,Clugnat,23022,23,389,,46.307641,2.116553
mairiedeladapeyre@orange.fr,Ladapeyre,23022,23,389,,46.247918,2.048497
contact@mairie-noth.com,Noth,23143,23,498,,46.2349859,1.5858975
stjulienlepelerin@wanadoo.fr,Saint-Julien-le-Pèlerin,19017,19,80,,45.017534,2.076734
mairie.st-pardoux@wanadoo.fr,Saint-Pardoux-d'Arnet,23017,23,167,,46.07835,1.2017
mairie-st-paul-des-landes@orange.fr,Saint-Paul-des-Landes,15016,15,614,,44.943135,2.314357
mairie.chambonchard@orange.fr,Chambonchard,23046,23,83,,46.1764,2.55134
mairie.lagl@orange.fr,Lagleygeolle,19029,19,279,,45.078319,1.696344
mairie.reygades@wanadoo.fr,Reygade,19017,19,80,,45.014529,1.909391
mairie-stmartialentraygues@wanadoo.fr,Saint-Martial-Entraygues,19010,19,2881,,45.120273,1.97301
mairie.tercillat@orange.fr,Tercillat,23041,23,266,,46.407577,2.05353
secretariat@ville-pompadour.fr,Arnac-Pompadour Cedex,,19,0,,45.4006996155,1.38066005707
mairie.bassignac@laposte.net,Bassignac,15008,15,284,,45.3163833618,2.40757203102
mairie.betete@wanadoo.fr,Bétête,23022,23,389,,46.3587425,2.0771915
mairie-croze23@orange.fr,Croze,23063,23,151,,45.819071,2.169571
mairie.lacapelle-del-fraisse@wanadoo.fr,Lacapelle-del-Fraisse,15082,15,286,,44.78057,2.436854
communepaulhac@orange.fr,Paulhac,15059,15,117,,45.006075,2.905104
mairiestmarc@wanadoo.fr,Saint-Marc-à-Loubaud,23134,23,215,,45.847999,1.994588
mairie@saintmartiallemont.fr,Saint-Martial-le-Mont,23001,23,1394,,46.048722,2.09262
stetiennechomeil.mairie@orange.fr,Saint-Étienne-de-Chomeil,15009,15,177,,45.342656,2.602153
mairie.antignac@orange.fr,Antignac,15008,15,284,,45.3410034,2.5419081
mairie@bort-les-orgues.com,Bort-les-Orgues,19028,19,2483,,45.401011,2.495476
mairiecayrols@wanadoo.fr,Cayrols,15030,15,297,,44.8311651,2.2330759
mairie.lapeyrugue@orange.fr,Lapeyrugue,15082,15,286,,44.728237,2.543841
mairie@laveissenet.fr,Laveissenet,15025,15,242,,45.081877,2.890379
mairie.lesternes@wanadoo.fr,Les Ternes,15002,15,224,,44.99618502047534,3.0129850830397524
mairie@ligneyrac.fr,Ligneyrac,19029,19,279,,45.052167,1.619875
mairie.mestes@gmail.com,Mestes,19002,19,352,,45.492487,2.310201
mairie-moussages@wanadoo.fr,Moussages,15006,15,727,,45.2348951,2.46977089
paulhenc.mairie@wanadoo.fr,Paulhenc,15026,15,177,,44.888338,2.814798
mairie.rosiers-de-juillac@wanadoo.fr,Rosiers-de-Juillac,19035,19,542,,45.291294,1.301173
mairie.stmartinvigouroux@orange.fr,Saint-Martin-sous-Vigouroux,15026,15,177,,44.923234,2.802928
mairie.st-etienne-de-carlat@wanadoo.fr,Saint-Étienne-de-Carlat,15012,15,6361,,44.9043555,2.574783
mairie.soulages15@orange.fr,Soulages,15002,15,224,,45.088006,3.273335
mairie.segur@wanadoo.fr,Ségur-les-Villas,15025,15,242,,45.225121,2.817273
mairietalizat@orange.fr,Talizat,15031,15,217,,45.114205,3.046383
coltines@wanadoo.fr,Coltines,15031,15,217,,45.091634,2.986954
mairie.montaigut.leblanc@orange.fr,Montaigut-le-Blanc,23036,23,1040,,46.1212148,1.7349932
mairie@omps.fr,Omps,15030,15,297,,44.87801,2.276866
mairiestbonnetpresbort@wanadoo.fr,Saint-Bonnet-près-Bort,19002,19,352,,45.5039787292,2.41705393791
contact@champs-marchal.org,Champs-sur-Tarentaine-Marchal,15020,15,84,,,
mairie-clairavaux23@orange.fr,Clairavaux,23063,23,151,,45.7826194763,2.16636300087
mairie@laroquebrou.fr,Laroquebrou,15011,15,174,,44.9679260254,2.19009995461
mairie.pierrefitte@wanadoo.fr,Pierrefitte,19037,19,1155,,45.422778,1.649089
mairie.stpierre@wanadoo.fr,Saint-Pierre,15037,15,1020,,45.3880244,2.3889403
secretariat@mairiedelapleau-correze.net,Lapleau,19106,19,393,,45.293576,2.16577
mairie.sthilairechateau@orange.fr,Saint-Hilaire-le-Château,23051,23,79,,45.982564,1.897742
commune.vitrac@wanadoo.fr,Vitrac,15117,15,600,,44.815149,2.314677
mairie.altillac@orange.fr,Altillac,19007,19,824,,44.975865,1.846416
mairiegiou@orange.fr,Giou-de-Mamou,15012,15,6361,,44.9313583374,2.51291894913
mairie@ussel19.fr,Ussel,19002,19,352,,,
mairie.vegennes@wanadoo.fr,Végennes,19007,19,824,,44.981454,1.739126
mairie-magnat-letrange@wanadoo.fr,Magnat-l'Étrange,23017,23,167,,45.793273,2.278962
mairie-saint-mexant@wanadoo.fr,Saint-Mexant,19038,19,1481,,45.285034,1.657498
accueilmairie@allanche15.fr,Allanche,15001,15,773,,45.228979,2.934496
mairie.ayen@ayen.fr,Ayen,19015,19,717,,45.247782,1.327435
mairie.bosmoreau@orange.fr,Bosmoreau-les-Mines,23012,23,122,,46.001499176,1.75655996799
lachapelleauxbrocs@wanadoo.fr,La Chapelle-aux-Brocs,19043,19,448,,45.1451952,1.6266684
contact@lagarde-enval.fr,Lagarde-Marc-la-Tour,19041,19,437,,45.186808,1.808735
commune-roffiac@orange.fr,Roffiac,15002,15,224,,45.0523566,3.0367424
mairie.stgermainbeaupre@orange.fr,Saint-Germain-Beaupré,23015,23,804,,46.3082008,1.5451799
mairie.st.marc.a.frongier@orange.fr,Saint-Marc-à-Frongier,23003,23,144,,45.97492,2.431106
commune.stsilvain@orange.fr,Saint-Silvain-Bas-le-Roc,23031,23,1236,,46.3300476074,2.22832298279
communedesardent@orange.fr,Sardent,23051,23,79,,46.050484,1.855183
mairiegourdonmurat@wanadoo.fr,Gourdon-Murat,19027,19,115,,45.553983,1.888511
mairie.stmartincantales@wanadoo.fr,Saint-Martin-Cantalès,15063,15,321,,45.091856,2.302703
mairie-crozant@wanadoo.fr,Crozant,23015,23,804,,46.3918991089,1.62172603607
mairie@curemonte.fr,Curemonte,19029,19,279,,45.000284,1.742756
mairie-bazelat@wanadoo.fr,Bazelat,23015,23,804,,46.3514251709,1.53882694244
mairie@puy-darnac.fr,Puy-d'Arnac,19007,19,824,,45.02946,1.783408
mairie@ville-maurs.fr;communication@ville-maurs.fr,Maurs,15021,15,665,,,
mairie-saint-julien-maumon@wanadoo.fr,Saint-Julien-Maumont,19029,19,279,,45.037928,1.706126
chenailler-mascheix@mairie19.fr,Chenailler-Mascheix,19007,19,824,,45.0545654297,1.84192299843
mairie@monceaux-sur-dordogne.fr,Monceaux-sur-Dordogne,19010,19,2881,,45.081971,1.908792
lavaveix-les-mines@wanadoo.fr,Lavaveix-les-Mines,23001,23,1394,,46.0738983154,2.09031009674
commune.saillac19@orange.fr,Saillac,19029,19,279,,45.036738,1.63867
web.info@saint-flour.fr,Saint-Flour,15002,15,224,,,
mairie-st-jacques-des-blats@orange.fr,Saint-Jacques-des-Blats,15017,15,129,,45.052816,2.711291
secretariat@laveissiere.fr,Laveissière,15025,15,242,,45.116296,2.807448
mairie@saint-salvadour.fr,Saint-Salvadour,19100,19,1197,,45.392937,1.766401
mairiearnac@wanadoo.fr,Arnac,15011,15,174,,45.059901,2.234077
mairie@riomesmontagnes.fr,Riom-ès-Montagnes,15009,15,177,,,
commune-de-jarnages@orange.fr,Jarnages,23068,23,512,,46.180729,2.085048
mairiepolminhac@wanadoo.fr,Polminhac,15017,15,129,,44.952382,2.577544
contact@brive.fr,Brive-la-Gaillarde,19015,19,717,,,
mairie@arpajonsurcere.com,Arpajon-sur-Cère,15012,15,6361,,,
communestefeyrelamontagne@orange.fr,Sainte-Feyre-la-Montagne,23063,23,151,,45.8995018005,2.2431499958
mairie.dampniat@libertysurf.fr,Dampniat,19043,19,448,,45.167640686,1.63229095936
administration@aurillac.fr,Aurillac,15014,15,26214,,,
mairie-ajain@orange.fr,Ajain,23002,23,1019,,46.206629,1.994763
mairie.pln@orange.fr,Perpezac-le-Noir,19078,19,403,,45.326272,1.552518
tudeils@mairie19.fr,Tudeils,19007,19,824,,45.049716,1.793794
commune.ferrieresstmary@orange.fr,Ferrières-Saint-Mary,15031,15,217,,45.183259,3.059169
segonzac19.mairie@orange.fr,Segonzac,19015,19,717,,45.27552,1.277461
mairie@saint-aulaire-correze.fr,Saint-Aulaire,19109,19,228,,45.248514,1.397828
mairie.thalamy@gmail.com,Thalamy,19002,19,352,,45.511473,2.459735
mairie@peyrelevade.fr,Peyrelevade,19021,19,102,,45.705689,2.049952
saint.cyprien@wanadoo.fr,Saint-Cyprien,19109,19,228,,45.250457,1.352214
saint-pardoux-lortigier@mairie19.fr,Saint-Pardoux-l'Ortigier,19072,19,2733,,,
mairie-splc@orange.fr,Saint-Pardoux-la-Croisille,19010,19,2881,,45.245632,1.983171
mairie.mortroux@wanadoo.fr,Mortroux,23025,23,1357,,46.3972625,1.9140499
mairie@sioniac.fr,Sioniac,19007,19,824,,44.974679,1.812935
mairie.soursac@wanadoo.fr,Soursac,19106,19,393,,45.275728,2.200996
bilhac@mairie19.fr,Bilhac,19007,19,824,,44.944574,1.773645
mairie-de-marcillac-la-croze@wanadoo.fr,Marcillac-la-Croze,19029,19,279,,45.036355,1.738375
mairie.monestierportdieu@gmail.com,Monestier-Port-Dieu,19028,19,2483,,45.4918327332,2.50270199776
estivaux@mairie19.fr,Estivaux,19078,19,403,,45.314644,1.485071
mbazilemeyssac@wanadoo.fr,Saint-Bazile-de-Meyssac,19029,19,279,,45.05383,1.728108
mairie@vitracsurmontane.fr,Vitrac-sur-Montane,19016,19,311,,45.376376,1.934924
sarrouxsaintjulien@orange.fr,Sarroux-Saint-Julien,19028,19,2483,,45.416795,2.402582
mairie@hautefage.fr,Hautefage,19010,19,2881,,45.0829963684,2.00146102905
mairie@orgnac.fr,Orgnac-sur-Vézère,19078,19,403,,45.335306,1.45092
mairie.albignac@orange.fr,Albignac,19003,19,236,,45.139262,1.678721
mairiedestivals@gmail.com,Estivals,19047,19,373,,45.027816,1.461243
yssandon@mairie19.fr,Yssandon,19015,19,717,,45.406044,2.046285
mairie-saint-hilairelescourbes@orange.fr,Saint-Hilaire-les-Courbes,19027,19,115,,45.6099014282,1.83262002468
